"id","event","event_date","data_name","data_value"
"95781","clientLogIn","2024-06-28T01:25:36:978Z","clientId","qqq"
"95781","clientLogIn","2024-06-28T01:25:36:978Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1091/qqq/connected"
"95781","clientLogIn","2024-06-28T01:25:36:978Z","connection","keep-alive"
"95781","clientLogIn","2024-06-28T01:25:36:978Z","acceptLanguage","en-US,en;q=0.9"
"95781","clientLogIn","2024-06-28T01:25:36:978Z","acceptEncoding","gzip, deflate, br, zstd"
"95781","clientLogIn","2024-06-28T01:25:36:978Z","userAgent","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
"95781","clientLogIn","2024-06-28T01:25:36:978Z","host","nlab.ph.ucla.edu:9663"
"95781","clientLogIn","2024-06-28T01:25:36:978Z","ipAddress","68.237.46.115"
"95781","clientLogIn","2024-06-28T01:25:36:978Z","requestURI","/game/65/1091/qqq/state"
"95782","clientLogIn","2024-06-28T01:28:52:375Z","clientId","5ec9caecb7f79d106dfe1065"
"95782","clientLogIn","2024-06-28T01:28:52:375Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1091/5ec9caecb7f79d106dfe1065/connected?PROLIFIC_PID=5ec9caecb7f79d106dfe1065&STUDY_ID=667e111f6e278be6105837c5&SESSION_ID=667e11bd91e214a2687b23ef"
"95782","clientLogIn","2024-06-28T01:28:52:375Z","connection","keep-alive"
"95782","clientLogIn","2024-06-28T01:28:52:375Z","acceptLanguage","en-US,en;q=0.5"
"95782","clientLogIn","2024-06-28T01:28:52:375Z","acceptEncoding","gzip, deflate, br, zstd"
"95782","clientLogIn","2024-06-28T01:28:52:375Z","userAgent","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:127.0) Gecko/20100101 Firefox/127.0"
"95782","clientLogIn","2024-06-28T01:28:52:375Z","host","nlab.ph.ucla.edu:9663"
"95782","clientLogIn","2024-06-28T01:28:52:375Z","ipAddress","147.0.4.194"
"95782","clientLogIn","2024-06-28T01:28:52:375Z","requestURI","/game/65/1091/5ec9caecb7f79d106dfe1065/state"
"95783","clientLogIn","2024-06-28T01:29:06:368Z","clientId","6124f4b53d3ff0a9f64bb647"
"95783","clientLogIn","2024-06-28T01:29:06:368Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1091/6124f4b53d3ff0a9f64bb647/connected?PROLIFIC_PID=6124f4b53d3ff0a9f64bb647&STUDY_ID=667e111f6e278be6105837c5&SESSION_ID=667e11cc9b76351e6e193fc0"
"95783","clientLogIn","2024-06-28T01:29:06:368Z","connection","keep-alive"
"95783","clientLogIn","2024-06-28T01:29:06:368Z","acceptLanguage","en-GB,en;q=0.9"
"95783","clientLogIn","2024-06-28T01:29:06:368Z","acceptEncoding","gzip, deflate, br"
"95783","clientLogIn","2024-06-28T01:29:06:368Z","userAgent","Mozilla/5.0 (iPhone; CPU iPhone OS 15_8_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.6 Mobile/15E148 Safari/604.1"
"95783","clientLogIn","2024-06-28T01:29:06:368Z","host","nlab.ph.ucla.edu:9663"
"95783","clientLogIn","2024-06-28T01:29:06:368Z","ipAddress","86.191.198.170"
"95783","clientLogIn","2024-06-28T01:29:06:368Z","requestURI","/game/65/1091/6124f4b53d3ff0a9f64bb647/state"
"95784","clientLogIn","2024-06-28T01:30:16:508Z","clientId","615ded1350849e2a7c332bef"
