"id","event","event_date","data_name","data_value"
"102670","clientLogIn","2024-07-02T02:14:28:186Z","clientId","11111"
"102670","clientLogIn","2024-07-02T02:14:28:186Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1122/11111/connected"
"102670","clientLogIn","2024-07-02T02:14:28:186Z","connection","keep-alive"
"102670","clientLogIn","2024-07-02T02:14:28:186Z","acceptLanguage","en-US,en;q=0.9"
"102670","clientLogIn","2024-07-02T02:14:28:186Z","acceptEncoding","gzip, deflate, br, zstd"
"102670","clientLogIn","2024-07-02T02:14:28:186Z","userAgent","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
"102670","clientLogIn","2024-07-02T02:14:28:186Z","host","nlab.ph.ucla.edu:9663"
"102670","clientLogIn","2024-07-02T02:14:28:186Z","ipAddress","68.237.46.115"
"102670","clientLogIn","2024-07-02T02:14:28:186Z","requestURI","/game/65/1122/11111/state"
"102671","clientLogIn","2024-07-02T02:16:03:455Z","clientId","61076ea4d11798351e01d677"
"102671","clientLogIn","2024-07-02T02:16:03:455Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1122/61076ea4d11798351e01d677/connected?PROLIFIC_PID=61076ea4d11798351e01d677&STUDY_ID=6683628a34ab9bda9d4b3967&SESSION_ID=668362cab8ca03378419704d"
"102671","clientLogIn","2024-07-02T02:16:03:455Z","connection","keep-alive"
"102671","clientLogIn","2024-07-02T02:16:03:455Z","acceptLanguage","es-ES,es;q=0.9,en;q=0.8"
"102671","clientLogIn","2024-07-02T02:16:03:455Z","acceptEncoding","gzip, deflate, br, zstd"
"102671","clientLogIn","2024-07-02T02:16:03:455Z","userAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
"102671","clientLogIn","2024-07-02T02:16:03:455Z","host","nlab.ph.ucla.edu:9663"
"102671","clientLogIn","2024-07-02T02:16:03:455Z","ipAddress","189.218.42.136"
"102671","clientLogIn","2024-07-02T02:16:03:455Z","requestURI","/game/65/1122/61076ea4d11798351e01d677/state"
"102672","clientLogIn","2024-07-02T02:17:09:013Z","clientId","614d3f53dbd3014b8ba06ab9"
"102672","clientLogIn","2024-07-02T02:17:09:013Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1122/614d3f53dbd3014b8ba06ab9/connected?PROLIFIC_PID=614d3f53dbd3014b8ba06ab9&STUDY_ID=6683628a34ab9bda9d4b3967&SESSION_ID=6683630d7bde6b91a35e9f03"
"102672","clientLogIn","2024-07-02T02:17:09:013Z","connection","keep-alive"
"102672","clientLogIn","2024-07-02T02:17:09:013Z","acceptLanguage","es-MX,es-419;q=0.9,es;q=0.8"
"102672","clientLogIn","2024-07-02T02:17:09:013Z","acceptEncoding","gzip, deflate, br"
"102672","clientLogIn","2024-07-02T02:17:09:013Z","userAgent","Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/126.0.6478.153 Mobile/15E148 Safari/604.1"
"102672","clientLogIn","2024-07-02T02:17:09:013Z","host","nlab.ph.ucla.edu:9663"
"102672","clientLogIn","2024-07-02T02:17:09:013Z","ipAddress","189.197.21.168"
"102672","clientLogIn","2024-07-02T02:17:09:013Z","requestURI","/game/65/1122/614d3f53dbd3014b8ba06ab9/state"
"102673","clientLogIn","2024-07-02T02:17:55:691Z","host","nlab.ph.ucla.edu:9663"
"102673","clientLogIn","2024-07-02T02:17:55:691Z","ipAddress","24.96.43.101"
"102673","clientLogIn","2024-07-02T02:17:55:691Z","requestURI","/game/65/1122/5f56990f2210bb0f68cd0fe3/state"
"102673","clientLogIn","2024-07-02T02:17:55:691Z","clientId","5f56990f2210bb0f68cd0fe3"
"102673","clientLogIn","2024-07-02T02:17:55:691Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1122/5f56990f2210bb0f68cd0fe3/connected?PROLIFIC_PID=5f56990f2210bb0f68cd0fe3&STUDY_ID=6683628a34ab9bda9d4b3967&SESSION_ID=66836347167df679de559676"
"102673","clientLogIn","2024-07-02T02:17:55:691Z","connection","keep-alive"
"102673","clientLogIn","2024-07-02T02:17:55:691Z","acceptLanguage","en-US,en;q=0.9"
"102673","clientLogIn","2024-07-02T02:17:55:691Z","acceptEncoding","gzip, deflate, br, zstd"
