"id","event","event_date","data_name","data_value"
"150209","clientLogIn","2024-07-23T20:22:07:648Z","acceptEncoding","gzip, deflate, br, zstd"
"150209","clientLogIn","2024-07-23T20:22:07:648Z","userAgent","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
"150209","clientLogIn","2024-07-23T20:22:07:648Z","host","nlab.ph.ucla.edu:9663"
"150209","clientLogIn","2024-07-23T20:22:07:648Z","ipAddress","108.60.147.73"
"150209","clientLogIn","2024-07-23T20:22:07:648Z","requestURI","/game/65/1381/asdfg/state"
"150209","clientLogIn","2024-07-23T20:22:07:648Z","clientId","asdfg"
"150209","clientLogIn","2024-07-23T20:22:07:648Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1381/asdfg/connected"
"150209","clientLogIn","2024-07-23T20:22:07:648Z","connection","keep-alive"
"150209","clientLogIn","2024-07-23T20:22:07:648Z","acceptLanguage","en-US,en;q=0.9"
"150210","clientLogIn","2024-07-23T20:26:26:366Z","clientId","6630d1bcbcc282514c2376e0"
"150210","clientLogIn","2024-07-23T20:26:26:366Z","referer","https://nlab.ph.ucla.edu:9663/game/65/1381/6630d1bcbcc282514c2376e0/connected?PROLIFIC_PID=6630d1bcbcc282514c2376e0&STUDY_ID=66a010de8dad8b1cb4f76998&SESSION_ID=66a011ea0eb5dceaad823209"
"150210","clientLogIn","2024-07-23T20:26:26:366Z","connection","keep-alive"
"150210","clientLogIn","2024-07-23T20:26:26:366Z","acceptLanguage","cs-CZ,cs;q=0.9,en;q=0.8"
"150210","clientLogIn","2024-07-23T20:26:26:366Z","acceptEncoding","gzip, deflate, br, zstd"
"150210","clientLogIn","2024-07-23T20:26:26:366Z","userAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
"150210","clientLogIn","2024-07-23T20:26:26:366Z","host","nlab.ph.ucla.edu:9663"
"150210","clientLogIn","2024-07-23T20:26:26:366Z","ipAddress","109.81.90.223"
"150210","clientLogIn","2024-07-23T20:26:26:366Z","requestURI","/game/65/1381/6630d1bcbcc282514c2376e0/state"
"150211","clientLogIn","2024-07-23T20:26:29:118Z","clientId","669bd87de12b168add192685"
