"id","event","event_date","data_name","data_value"
"21025","clientLogIn","2023-06-22T04:56:52:918Z","acceptEncoding","gzip, deflate, br"
"21025","clientLogIn","2023-06-22T04:56:52:918Z","userAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
"21025","clientLogIn","2023-06-22T04:56:52:918Z","host","nlab.ph.ucla.edu:9663"
"21025","clientLogIn","2023-06-22T04:56:52:918Z","ipAddress","45.196.147.104"
"21025","clientLogIn","2023-06-22T04:56:52:918Z","requestURI","/game/41/353/3OJSZ2ATDU1DJH1ED6RV1MGBLA957S/state"
"21025","clientLogIn","2023-06-22T04:56:52:918Z","clientId","3OJSZ2ATDU1DJH1ED6RV1MGBLA957S"
"21025","clientLogIn","2023-06-22T04:56:52:918Z","referer","https://nlab.ph.ucla.edu:9663/game/41/353/3OJSZ2ATDU1DJH1ED6RV1MGBLA957S/connected?connectionSpeed="
"21025","clientLogIn","2023-06-22T04:56:52:918Z","connection","keep-alive"
"21025","clientLogIn","2023-06-22T04:56:52:918Z","acceptLanguage","en-US,en;q=0.9"
"21026","clientLogIn","2023-06-22T04:56:58:326Z","clientId","3K9FOBBF2JOGORWML0ORE8YY7FDNL8"
"21026","clientLogIn","2023-06-22T04:56:58:326Z","referer","https://nlab.ph.ucla.edu:9663/game/41/353/3K9FOBBF2JOGORWML0ORE8YY7FDNL8/connected?connectionSpeed="
"21026","clientLogIn","2023-06-22T04:56:58:326Z","connection","keep-alive"
"21026","clientLogIn","2023-06-22T04:56:58:326Z","acceptLanguage","en-US,en;q=0.9"
"21026","clientLogIn","2023-06-22T04:56:58:326Z","acceptEncoding","gzip, deflate, br"
"21026","clientLogIn","2023-06-22T04:56:58:326Z","userAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
"21026","clientLogIn","2023-06-22T04:56:58:326Z","host","nlab.ph.ucla.edu:9663"
"21026","clientLogIn","2023-06-22T04:56:58:326Z","ipAddress","104.219.237.41"
"21026","clientLogIn","2023-06-22T04:56:58:326Z","requestURI","/game/41/353/3K9FOBBF2JOGORWML0ORE8YY7FDNL8/state"
"21027","clientLogIn","2023-06-22T04:57:02:793Z","clientId","3TU5ZICBRF66CHPV7374DX7XSQ1Q8C"
"21027","clientLogIn","2023-06-22T04:57:02:793Z","referer","https://nlab.ph.ucla.edu:9663/game/41/353/3TU5ZICBRF66CHPV7374DX7XSQ1Q8C/connected?connectionSpeed="
"21027","clientLogIn","2023-06-22T04:57:02:793Z","connection","keep-alive"
"21027","clientLogIn","2023-06-22T04:57:02:793Z","acceptLanguage","en-US,en;q=0.9"
"21027","clientLogIn","2023-06-22T04:57:02:793Z","acceptEncoding","gzip, deflate, br"
"21027","clientLogIn","2023-06-22T04:57:02:793Z","userAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
"21027","clientLogIn","2023-06-22T04:57:02:793Z","host","nlab.ph.ucla.edu:9663"
"21027","clientLogIn","2023-06-22T04:57:02:793Z","ipAddress","104.219.237.190"
"21027","clientLogIn","2023-06-22T04:57:02:793Z","requestURI","/game/41/353/3TU5ZICBRF66CHPV7374DX7XSQ1Q8C/state"
"21028","clientLogIn","2023-06-22T04:57:04:354Z","clientId","3A7Y0R2P2QTF5VMQKLZNWVC454IXJ0"
"21028","clientLogIn","2023-06-22T04:57:04:354Z","referer","https://nlab.ph.ucla.edu:9663/game/41/353/3A7Y0R2P2QTF5VMQKLZNWVC454IXJ0/connected?connectionSpeed="
"21028","clientLogIn","2023-06-22T04:57:04:354Z","connection","keep-alive"
