fips,obesity
2013,50.9
2016,41.5
2020,30.1
2050,33.9
2060,41.8
2068,23
2070,30.5
2090,31.1
2100,28.2
2105,29.8
2110,26.1
2122,32.9
2130,38.4
2150,28.1
2164,37.1
2170,34.3
2180,40.2
2185,43.4
2188,44.9
2195,25.1
2198,39.6
2220,25.5
2230,25.8
2240,32.3
2261,33.5
2158,23
2275,35.8
2282,37.1
2290,30.8
6001,22
6005,29.8
6007,30.3
6009,28.1
6011,38.8
6013,24.9
6015,33.9
6017,25.2
6021,34.1
6023,24.8
6031,34
6033,22.7
6035,32.8
6041,17.5
6043,16.1
6045,30.5
6047,33.4
6049,26.1
6053,24.8
6055,23.7
6057,18.1
6061,20.2
6063,23.8
6067,29.7
6069,35.4
6075,17
6077,35.3
6079,28.5
6081,22.6
6083,24.1
6085,19.7
6087,19
6089,26.4
6091,19.9
6093,34.7
6095,29
6097,23.7
6099,31.4
6101,29.7
6103,34.3
6105,28.9
6109,29.5
6113,24.5
6115,29.4
15001,26.6
15003,24.7
15005,11.2
15007,24
15009,24.9
41003,21.7
41005,27.6
41007,31.6
41009,33.6
41011,38.6
41013,32.6
41015,36.7
41017,25.4
41019,33.8
41021,31.6
41027,29.4
41029,26.7
41031,36.9
41033,32.2
41035,30.1
41037,36.5
41039,28.5
41041,36.6
41043,34.5
41047,34.8
41051,23.9
41053,35.2
41055,34.9
41057,38.4
41065,28.1
41067,28.8
41069,26
41071,34.7
53007,32.9
53009,30.4
53011,31.8
53015,37.7
53027,36.1
53029,30.6
53031,22.2
53033,22.4
53035,30.3
53037,27.6
53039,27
53041,33.1
53045,37.8
53047,32.4
53049,38.2
53053,31.6
53055,20
53057,30.4
53059,34.7
53061,30.1
53067,30
53069,34.7
53073,27.9
53077,34.3
4001,36
4003,31.4
4005,24.5
4007,33.1
4009,34.1
4011,30
4012,34.3
4013,27
4015,31.3
4017,33.8
4019,25.7
4021,35
4023,30.1
4025,24.7
4027,38.4
6003,16.8
6019,33
6025,32.8
6027,27.1
6029,31.1
6037,21.8
6039,36.7
6051,28.2
6059,19.4
6065,28.3
6071,30.6
6073,20.1
6107,37.1
6111,19.9
8007,24.7
8029,23.7
8033,22.1
8045,24.4
8051,14.2
8053,24
8067,18
8077,25.7
8079,18.4
8081,20.5
8083,28.2
8085,20.2
8091,20.7
8097,14.9
8103,23.2
8107,16.1
8111,20.9
8113,16.3
16001,24.8
16005,31.2
16007,29.1
16011,33.7
16013,16.8
16015,29.2
16019,29.1
16023,26.1
16025,30
16027,34.4
16029,28
16031,34
16033,26.7
16037,23.9
16039,36.5
16041,29.2
16043,28.5
16045,37.3
16047,31
16051,35.3
16053,32
16063,30.3
16065,28.1
16067,30.8
16071,32.1
16073,39.8
16075,37.9
16077,38.5
16081,18.9
16083,31.4
16087,36.6
32001,31.9
32003,27.1
32005,25.7
32007,28.1
32009,24.3
32011,24.4
32013,32
32015,30
32017,28
32019,33.6
32021,38.5
32023,34
32027,38.9
32029,27.5
32031,23.5
32033,30.9
32510,31
35003,26.7
35006,34.1
35013,26.6
35017,29.8
35023,26.6
35029,35
35031,38.3
35043,28.3
35045,34.9
35051,29.5
35053,31.4
35061,34.3
41023,23
41025,31.7
41045,40
49001,27.2
49003,34
49005,25.1
49007,30.3
49009,28.5
49011,26.8
49013,31.6
49015,30.9
49017,20.7
49019,26.8
49021,26.6
49023,28.2
49025,27.3
49027,36.2
49029,22
49031,22.5
49033,24.9
49035,26.3
49037,38.4
49039,28.7
49041,29.9
49043,14.3
49045,37.3
49047,35.9
49049,26.7
49051,24.7
49053,24.1
49055,22.4
49057,31.7
56003,32.2
56007,33.6
56013,29.4
56017,29.6
56023,25.4
56025,31.1
56029,26.7
56035,28.8
56037,30.1
56039,11
56041,34.9
56043,29.5
22031,43
48001,37.3
48005,39.6
48007,37.7
48013,40
48015,32
48019,29.1
48021,41.3
48025,33.7
48027,32.6
48029,29.7
48031,22.6
48035,26.3
48039,31.7
48041,31.2
48043,26.2
48047,35
48049,37.1
48051,46.2
48053,33.6
48055,39
48057,32
48061,31.2
48071,32.7
48073,44.2
48081,27.9
48083,22.2
48089,24.7
48091,29.5
48093,24.9
48095,19.6
48099,31.2
48103,20.4
48105,30
48109,32
48123,25.5
48127,26.5
48131,26
48135,37.2
48137,22.9
48141,31.5
48145,29
48149,24
48157,25.4
48161,39
48163,29.4
48167,34.4
48171,24.4
48173,26.3
48175,31.1
48177,32.8
48185,40.6
48187,33.3
48193,25.7
48199,37.1
48201,29.9
48209,31.7
48215,38.3
48217,36.9
48225,28.4
48229,38.3
48235,24.1
48239,33.2
48241,43.6
48243,26
48245,41.3
48247,23.2
48249,33.9
48255,26.9
48259,33.9
48261,22
48265,24.1
48267,31.4
48271,22.9
48273,32.8
48281,33.9
48283,23.8
48285,40.4
48287,37.5
48289,33.7
48291,37.4
48293,41.9
48297,23.6
48299,26.3
48301,29.4
48307,31
48309,34.2
48311,24.1
48313,29.8
48319,25.3
48321,36.2
48323,30.7
48325,37
48327,29.1
48329,34.5
48331,40.6
48333,28.2
48339,29
48347,35.3
48349,34.8
48351,35.2
48355,33.2
48361,45.4
48371,39.1
48373,39.6
48377,30.3
48383,27.8
48385,21.3
48389,29.3
48391,21.1
48395,41.6
48399,19.3
48403,27.9
48405,36
48407,37.9
48409,40.6
48411,32.1
48413,23.9
48419,29.1
48427,32.2
48431,21.8
48435,29.1
48443,21.1
48451,30.4
48453,23.1
48455,25.3
48457,42.3
48461,24.1
48463,35.9
48465,26.8
48469,36.9
48471,31.9
48473,34.8
48475,37.8
48477,36.7
48479,37.3
48481,36.7
48489,37.9
48491,31.1
48493,34.6
48495,37.4
48505,30.2
48507,28.6
5007,31
5033,39.1
5047,42.3
5057,31.5
5061,42.4
5081,33.4
5083,30.2
5087,30.8
5091,39
5113,36.1
5127,37.6
5131,34.8
5133,32.4
5143,32
8001,28.5
8003,31.1
8005,22.5
8009,31.6
8011,33
8013,14.2
8014,19.3
8015,16.2
8017,24.1
8019,21.4
8021,27
8023,24.8
8025,29.4
8027,21.6
8031,17.7
8035,19.9
8037,16
8039,24.8
8041,22.8
8043,30.5
8047,21.4
8049,17.8
8055,26.5
8057,24.4
8059,20.8
8061,28.7
8063,32.3
8065,27.1
8069,20.8
8071,31.5
8073,30.1
8075,36.2
8087,34.9
8089,34.7
8093,19.5
8095,31.7
8099,35.7
8101,31
8105,29.1
8109,26.8
8115,25.7
8117,15.3
8119,22.2
8121,29.5
8123,29
8125,30.5
19001,29.7
19003,36.9
19009,32.6
19015,39.1
19021,35.7
19025,35.5
19027,37.3
19029,32.4
19035,35
19039,40.2
19041,29.4
19047,37.1
19049,29.5
19053,34.8
19059,27.3
19063,36.2
19071,35.6
19073,40.5
19077,37.3
19079,35.8
19081,34.1
19085,36.7
19091,32.3
19093,32.4
19109,40.1
19119,35.1
19121,37.8
19129,30.8
19133,34.2
19137,31.7
19141,27.1
19143,37.3
19145,42.8
19147,33.5
19149,32.8
19151,37.3
19155,42
19159,32.8
19161,37.2
19165,33.6
19167,28.4
19173,34.5
19175,37.3
19187,37.8
19189,40.6
19193,34.7
19197,39.2
20001,39.2
20003,34.5
20005,37.6
