fips,black
2013,3.2
2016,3.3
2020,5.2
2050,0.7
2060,0.5
2068,1.1
2070,1.5
2090,4.2
2100,0
2105,3
2110,0.9
2122,0.5
2130,0.7
2150,0.2
2164,1.1
2170,1.1
2180,0.8
2185,1.4
2188,1
2195,1
2198,0.4
2220,0.7
2230,3.3
2240,0.3
2261,0.3
2158,0
2275,0
2282,0.7
2290,0
6001,10.3
6005,2.2
6007,1.4
6009,0.6
6011,1.1
6013,8.3
6015,3.2
6017,0.7
6021,0.6
6023,0.9
6031,5.8
6033,2
6035,8.4
6041,2.1
6043,1.4
6045,0.7
6047,2.8
6049,1.5
6053,2.4
6055,1.9
6057,0.4
6061,1.6
6063,0.7
6067,9.4
6069,0.7
6075,5
6077,6.7
6079,1.7
6081,2.1
6083,1.8
6085,2.3
6087,0.9
6089,1.1
6091,0
6093,1.5
6095,13.5
6097,1.4
6099,2.8
6101,1.7
6103,0.7
6105,1
6109,1.7
6113,2.4
6115,3.3
15001,0.5
15003,2.2
15005,3
15007,0.4
15009,0.4
41003,1
41005,0.8
41007,0.8
41009,0.4
41011,0.4
41013,0.5
41015,0.4
41017,0.5
41019,0.4
41021,0
41027,0.5
41029,0.6
41031,0.7
41033,0.4
41035,0.6
41037,0.3
41039,1
41041,0.4
41043,0.4
41047,1
41051,5.3
41053,0.7
41055,0.1
41057,0.3
41065,0.3
41067,1.9
41069,0
41071,0.8
53007,0.5
53009,0.9
53011,1.6
53015,0.7
53027,1.1
53029,3
53031,0.5
53033,6.2
53035,2.5
53037,0.8
53039,0.7
53041,0.4
53045,1
53047,0.4
53049,0.3
53053,6.5
53055,0.7
53057,0.6
53059,0.4
53061,2.9
53067,3
53069,1.2
53073,0.9
53077,0.9
4001,0.5
4003,3.6
4005,1.1
4007,0.6
4009,1.8
4011,2
4012,0.8
4013,5.3
4015,0.9
4017,0.7
4019,3.2
4021,4
4023,0.2
4025,0.6
4027,1.6
6003,0.8
6019,4.4
6025,2.1
6027,0.7
6029,5.1
6037,78.3
6039,3
6051,0.4
6059,1.6
6065,6.1
6071,7.8
6073,4.7
6107,1.2
6111,1.6
8007,1.3
8029,0.5
8033,0
8045,0.4
8051,0.3
8053,0
8067,0.4
8077,0.5
8079,0.9
8081,0.9
8083,0.2
8085,0.2
8091,0.3
8097,0.9
8103,0.4
8107,0.9
8111,0
8113,0
16001,1.2
16005,0.6
16007,0.8
16011,0.2
16013,0.4
16015,0.2
16019,0.4
16023,0.1
16025,0
16027,0.4
16029,0
16031,0.2
16033,0.7
16037,0.1
16039,2.5
16041,0.2
16043,0.1
16045,0.1
16047,0
16051,0
16053,0.1
16063,0
16065,0.1
16067,0.1
16071,0.1
16073,0.5
16075,0
16077,0
16081,0
16083,0.8
16087,0.1
32001,2.4
32003,11.2
32005,0.7
32007,0.4
32009,2.5
32011,0
32013,0.6
32015,0
32017,3.8
32019,0.7
32021,5.1
32023,1.8
32027,3.5
32029,1.6
32031,2.1
32033,5.6
32510,1.9
35003,0
35006,0.8
35013,1.6
35017,0.8
35023,1.2
35029,1.3
35031,0.5
35043,2
35045,0.6
35051,0.3
35053,0.5
35061,1
41023,0
41025,0.4
41045,0.9
49001,0
49003,0.5
49005,0.7
49007,0.4
49009,0.1
49011,1.2
49013,0.4
49015,0
49017,0
49019,0.3
49021,0.5
49023,0.2
49025,0
49027,0.1
49029,0.7
49031,0.1
49033,0
49035,1.8
49037,0.1
49039,0.7
49041,0.6
49043,0.7
49045,0.4
49047,0.3
49049,0.5
49051,0.1
49053,0.6
49055,0.2
49057,0.9
56003,0.4
56007,1
56013,0.5
56017,0
56023,0
56025,1
56029,0.6
56035,0
56037,1.1
56039,1.2
56041,0.1
56043,0
22031,35.3
48001,20.9
48005,14.5
48007,1.3
48013,0.2
48015,8.7
48019,0.6
48021,7
48025,6.8
48027,21.5
48029,7.1
48031,0
48035,1.6
48039,13.6
48041,10.2
48043,0.2
48047,0
48049,3.5
48051,13.1
48053,1.7
48055,5.5
48057,2.3
48061,0.3
48071,7.2
48073,13.4
48081,0.9
48083,1.6
48089,12.6
48091,1.9
48093,0.5
48095,1.1
48099,12.7
48103,2.3
48105,0.6
48109,0.1
48123,9.2
48127,0
48131,1.3
48135,4.4
48137,0
48141,2.9
48145,24.1
48149,6.5
48157,20.1
48161,15
48163,3.1
48167,12.3
48171,0
48173,0
48175,4.9
48177,6.4
48185,14.8
48187,7.5
48193,0.7
48199,5.5
48201,18.5
48209,3.8
48215,0.4
48217,6.2
48225,24.9
48229,1.6
48235,4
48239,6.4
48241,16.5
48243,1
48245,33.4
48247,0
48249,0.6
48255,6.4
48259,0.4
48261,0
48265,1.4
48267,1
48271,0.1
48273,2.9
48281,4.3
48283,1.4
48285,6.1
48287,11.1
48289,6.7
48291,9.8
48293,16.8
48297,2.2
48299,0.6
48301,0
48307,1
48309,14.2
48311,0
48313,16.2
48319,0
48321,10.2
48323,0.3
48325,2.4
48327,0
48329,6.2
48331,9.2
48333,0.3
48339,4.7
48347,17.2
48349,12.1
48351,20.2
48355,3.6
48361,8.6
48371,3.4
48373,9.6
48377,0
48383,0.8
48385,0.5
48389,1.3
48391,6.4
48395,20.2
48399,3
48403,5.6
48405,21.3
48407,8.9
48409,1.4
48411,2
48413,0.5
48419,18.9
48427,0
48431,0
48435,0
48443,1.1
48451,3.9
