fips,hispanic
2013,9
2016,14
2020,9.1
2050,2.5
2060,3.6
2068,0.3
2070,3.7
2090,8
2100,4.4
2105,6.8
2110,6.7
2122,4.1
2130,5.2
2150,8.9
2164,0.1
2170,4.9
2180,2.7
2185,2
2188,1.4
2195,11.6
2198,3.8
2220,6.7
2230,5.6
2240,6
2261,5.2
2158,1.1
2275,5
2282,7.7
2290,2.6
6001,22.3
6005,13.8
6007,16.3
6009,12
6011,59.3
6013,25.5
6015,19.7
6017,12.8
6021,41.7
6023,11.5
6031,54.4
6033,20.5
6035,18.9
6041,15.9
6043,11.2
6045,25.1
6047,59.6
6049,14.4
6053,58.6
6055,34
6057,9.4
6061,13.9
6063,8.9
6067,23.1
6069,59.7
6075,15.2
6077,41.4
6079,22.5
6081,24.3
6083,45.3
6085,25.4
6087,33.5
6089,10
6091,10.6
6093,12.5
6095,26.4
6097,26.7
6099,46.2
6101,30.9
6103,24.9
6105,7.2
6109,12.2
6113,31.6
6115,28.2
15001,12.7
15003,9.8
15005,3
15007,11
15009,11.3
41003,7.3
41005,8.6
41007,8.5
41009,5.1
41011,6.4
41013,7.6
41015,7.1
41017,7.9
41019,5.8
41021,6.1
41027,31.4
41029,12.8
41031,19.9
41033,7.4
41035,13
41037,8.1
41039,8.8
41041,9.1
41043,9.1
41047,26.5
41051,11.5
41053,13.9
41055,4.9
41057,10.3
41065,18.1
41067,16.6
41069,8.6
41071,15.8
53007,27.9
53009,6.3
53011,9.6
53015,8.9
53027,9.9
53029,7.7
53031,3.6
53033,9.6
53035,7.7
53037,8.8
53039,11.9
53041,10.2
53045,9.9
53047,20.1
53049,9.7
53053,10.8
53055,6.4
53057,18.3
53059,6.3
53061,10.2
53067,8.9
53069,6.8
53073,9.4
53077,49.2
4001,6.3
4003,35.4
4005,14.1
4007,18.7
4009,33
4011,46.7
4012,27.5
4013,3
4015,16.4
4017,11.4
4019,37.2
4021,30.1
4023,83.4
4025,14.5
4027,63.7
6003,12.5
6019,53
6025,84.2
6027,22.3
6029,53.3
6037,48.4
6039,57.7
6051,27
6059,3.4
6065,4.8
6071,5.3
6073,3.3
6107,64.5
