fips,native
2013,45.8
2016,10.4
2020,7.3
2050,82.4
2060,34.1
2068,2.1
2070,70.9
2090,7.2
2100,8.6
2105,35.9
2110,10.2
2122,7.7
2130,13.4
2150,11.9
2164,69.7
2170,6
2180,74.3
2185,50.8
2188,82
2195,7.3
2198,38.4
2220,12.3
2230,5
2240,13.8
2261,13.8
2158,91.9
2275,22.1
2282,36
2290,68.3
6001,0.3
6005,0.6
6007,0.7
6009,0.4
6011,0.6
6013,0.1
6015,7
6017,0.5
6021,1.3
6023,4.6
6031,0.8
6033,3
6035,2.7
6041,0.1
6043,1.8
6045,3.3
6047,0.3
6049,4.1
6053,0.1
6055,0.2
6057,0.4
6061,0.3
6063,1.4
6067,0.3
6069,0.3
6075,0.1
6077,0.2
6079,0.5
6081,0.1
6083,0.3
6085,0.1
6087,0.1
6089,2.1
6091,0.9
6093,3.1
6095,0.2
6097,0.4
6099,0.4
6101,0.6
6103,1.3
6105,5.4
6109,1.4
6113,0.3
6115,0.7
15001,0.1
15003,0.1
15005,1.5
15007,0.3
15009,0.1
41003,0.5
41005,0.6
41007,0.3
41009,0.9
41011,1.8
41013,0.7
41015,1
41017,0.5
41019,0.8
41021,3.9
41027,0.5
41029,1
41031,15.7
41033,1
41035,3.9
41037,2.4
41039,0.8
41041,2.4
41043,0.7
41047,0.5
41051,0.6
41053,1.7
41055,0.7
41057,0.8
41065,2.9
41067,0.2
41069,0.6
41071,1
53007,0.8
53009,4.6
53011,0.4
53015,1
53027,3.8
53029,0.8
53031,1.9
53033,0.4
53035,0.8
53037,0.5
53039,2.4
53041,0.5
53045,1.8
53047,9.1
53049,2.2
53053,1
53055,0.8
53057,1.5
53059,1.8
53061,0.7
53067,1.2
53069,0.7
53073,2.6
53077,3.4
4001,73.1
4003,0.9
4005,25.7
4007,16
4009,12.5
4011,3.5
4012,11.4
4013,1.6
4015,1.9
4017,43.5
4019,2.4
4021,4.3
4023,0.2
4025,1.2
4027,0.9
6003,30.2
6019,0.4
6025,0.6
6027,10.1
6029,0.4
6037,2
6039,0.9
6051,1.6
6059,0.1
6065,0.4
6071,0.3
6073,0.3
6107,0.6
6111,0.2
8007,1.1
8029,0.7
8033,1.6
8045,0.3
8051,0.9
8053,1.7
8067,5.5
8077,0.6
8079,0
8081,0.5
8083,12
8085,0.7
8091,0.3
8097,0
8103,1.1
8107,0.3
8111,1
8113,0.6
16001,0.3
16005,2.5
16007,0.4
16011,5.1
16013,0.7
16015,0.4
16019,0.3
16023,0
16025,0
16027,0.6
16029,0
16031,1
16033,4.6
16037,1
16039,1.3
