"","cumulativePayoff","initScore","behaviorTime","notMakeLink","notBreakLink","behavior","breakLink","id","makeLink","payoff","round","gameID","scoreA","scoreB","percentA","showScore","game","costbenefit","ID"
"1","NA","500",NA,"NA","NA",NA,"NA","p25","NA","NA","0","D2013-11-07-01_4227","500","500","0.5","true","1","50100","p25_D2013-11-07-01_4227"
"2","NA","500",NA,"NA","NA",NA,"NA","p24","NA","NA","0","D2013-11-07-01_4227","500","500","0.5","true","1","50100","p24_D2013-11-07-01_4227"
"3","NA","500",NA,"NA","NA",NA,"NA","p26","NA","NA","0","D2013-11-07-01_4227","500","500","0.5","true","1","50100","p26_D2013-11-07-01_4227"
"4","NA","500",NA,"NA","NA",NA,"NA","p21","NA","NA","0","D2013-11-07-01_4227","500","500","0.5","true","1","50100","p21_D2013-11-07-01_4227"
"5","NA","500",NA,"NA","NA",NA,"NA","p20","NA","NA","0","D2013-11-07-01_4227","500","500","0.5","true","1","50100","p20_D2013-11-07-01_4227"
"6","NA","500",NA,"NA","NA",NA,"NA","p22","NA","NA","0","D2013-11-07-01_4227","500","500","0.5","true","1","50100","p22_D2013-11-07-01_4227"
"7","NA","500",NA,"NA","NA",NA,"NA","p10","NA","NA","0","D2013-11-07-01_4227","500","500","0.5","true","1","50100","p10_D2013-11-07-01_4227"
"8","NA","500",NA,"NA","NA",NA,"NA","p11","NA","NA","0","D2013-11-07-01_4227","500","500","0.5","true","1","50100","p11_D2013-11-07-01_4227"
"9","NA","500",NA,"NA","NA",NA,"NA","p13","NA","NA","0","D2013-11-07-01_4227","500","500","0.5","true","1","50100","p13_D2013-11-07-01_4227"
"10","NA","500",NA,"NA","NA",NA,"NA","p14","NA","NA","0","D2013-11-07-01_4227","500","500","0.5","true","1","50100","p14_D2013-11-07-01_4227"
"11","NA","500",NA,"NA","NA",NA,"NA","p15","NA","NA","0","D2013-11-07-01_4227","500","500","0.5","true","1","50100","p15_D2013-11-07-01_4227"
"12","NA","500",NA,"NA","NA",NA,"NA","p16","NA","NA","0","D2013-11-07-01_4227","500","500","0.5","true","1","50100","p16_D2013-11-07-01_4227"
"13","NA","500",NA,"NA","NA",NA,"NA","p17","NA","NA","0","D2013-11-07-01_4227","500","500","0.5","true","1","50100","p17_D2013-11-07-01_4227"
"14","NA","500",NA,"NA","NA",NA,"NA","p18","NA","NA","0","D2013-11-07-01_4227","500","500","0.5","true","1","50100","p18_D2013-11-07-01_4227"
"15","NA","500",NA,"NA","NA",NA,"NA","p19","NA","NA","0","D2013-11-07-01_4227","500","500","0.5","true","1","50100","p19_D2013-11-07-01_4227"
"16","NA","500",NA,"NA","NA",NA,"NA","p2","NA","NA","0","D2013-11-07-01_4227","500","500","0.5","true","1","50100","p2_D2013-11-07-01_4227"
"17","NA","500",NA,"NA","NA",NA,"NA","p3","NA","NA","0","D2013-11-07-01_4227","500","500","0.5","true","1","50100","p3_D2013-11-07-01_4227"
"18","NA","500",NA,"NA","NA",NA,"NA","p0","NA","NA","0","D2013-11-07-01_4227","500","500","0.5","true","1","50100","p0_D2013-11-07-01_4227"
"19","NA","500",NA,"NA","NA",NA,"NA","p1","NA","NA","0","D2013-11-07-01_4227","500","500","0.5","true","1","50100","p1_D2013-11-07-01_4227"
"20","NA","500",NA,"NA","NA",NA,"NA","p6","NA","NA","0","D2013-11-07-01_4227","500","500","0.5","true","1","50100","p6_D2013-11-07-01_4227"
"21","NA","500",NA,"NA","NA",NA,"NA","p7","NA","NA","0","D2013-11-07-01_4227","500","500","0.5","true","1","50100","p7_D2013-11-07-01_4227"
"22","NA","500",NA,"NA","NA",NA,"NA","p4","NA","NA","0","D2013-11-07-01_4227","500","500","0.5","true","1","50100","p4_D2013-11-07-01_4227"
"23","NA","500",NA,"NA","NA",NA,"NA","p5","NA","NA","0","D2013-11-07-01_4227","500","500","0.5","true","1","50100","p5_D2013-11-07-01_4227"
