fips,white
2013,13.2
2016,23.8
2020,57.9
2050,9.7
2060,50.8
2068,84.2
2070,15.4
2090,69.9
2100,77.5
2105,43.8
2110,64.6
2122,79.9
2130,63.9
2150,49
2164,20.9
2170,79.2
2180,14.6
2185,30.9
2188,10.7
2195,65.4
2198,45.2
2220,61.5
2230,82.1
2240,73.6
2261,69.3
2158,3.5
2275,61.8
2282,43.2
2290,21.5
6001,31.4
6005,78.1
6007,71.9
6009,80.9
6011,35.3
6013,43.8
6015,61.9
6017,77.8
6021,51.4
6023,74.3
6031,32.2
6033,70.5
6035,65.4
6041,71.1
6043,79.9
6045,65.1
6047,27.6
6049,77.6
6053,29.9
6055,52.4
6057,85.1
6061,72.6
6063,83.1
6067,44.7
6069,34.2
6075,40.5
6077,31.8
6079,68.8
6081,39.2
6083,44.5
6085,31.5
6087,57.2
6089,79.8
6091,87.5
6093,76.1
6095,38
6097,63.2
6099,41.8
6101,46.2
6103,68.3
6105,82.1
6109,80.1
6113,46.6
6115,55.1
15001,30.3
15003,18.3
15005,22.7
15007,29.5
15009,30.2
41003,80.2
41005,81.9
41007,85.5
41009,88.5
41011,85.2
41013,88.2
41015,86.2
41017,87.2
41019,87.8
41021,87.9
41027,63.7
41029,80.8
41031,60.4
41033,86.9
41035,77.8
41037,84.4
41039,81.8
41041,82.4
41043,84.9
41047,65.4
41051,69.6
41053,78
41055,89.3
41057,84.3
41065,74.5
41067,65.7
41069,87.2
41071,77.2
53007,67.9
53009,82.7
53011,78.4
53015,83.6
53027,79.4
53029,79.1
53031,88.3
53033,59.6
53035,76.6
53037,84
53039,82.1
53041,83.3
53045,80.5
53047,64.8
53049,81.8
53053,66.7
53055,88.4
53057,74.3
53059,87.6
53061,69.5
53067,74.9
53069,86.7
53073,78.9
53077,43.1
4001,18.2
4003,54.9
4005,54
4007,62.2
4009,50.8
4011,46.6
4012,57.3
4013,55.2
4015,77.2
4017,41.2
4019,51.7
4021,56.7
4023,14.8
4025,80.4
4027,30.9
6003,53
6019,29.4
6025,10.6
6027,62.1
6029,34.1
6037,262
6039,34.1
6051,65
6059,40.5
6065,35.3
6071,28.5
6073,45.5
6107,28.5
6111,45.4
8007,76.3
8029,81.3
8033,89.7
8045,68.1
8051,86.9
8053,89.9
8067,78.5
8077,81.3
8079,86.4
8081,80.3
8083,72.4
8085,76
8091,95.7
8097,85.3
8103,84.6
8107,89.7
8111,88.7
8113,85.8
16001,84.6
16005,83.6
16007,92.9
16011,73.7
16013,74.6
16015,90.9
16019,83
16023,94.7
16025,98
16027,70.3
16029,91.7
16031,69.8
16033,46.1
16037,89.2
16039,72.6
16041,91
16043,84.8
16045,87.7
16047,67.8
16051,86.7
16053,61.4
16063,66.1
16065,88.2
16067,62
16071,93.4
16073,68.4
16075,78.4
16077,61.3
16081,81.1
16083,79
16087,78.9
32001,73.2
32003,42.7
32005,80.7
32007,66.7
32009,79.8
32011,89.8
32013,65.3
32015,64
32017,86.9
32019,74.8
32021,60.3
32023,76.2
32027,65.1
32029,84.6
32031,63
32033,71.5
32510,66.9
35003,80.9
35006,19.3
35013,27.2
35017,45.8
35023,39
35029,29.5
35031,8.6
35043,43.4
35045,38.1
35051,64.6
35053,34.1
35061,32.5
41023,91.4
41025,87
41045,61.1
49001,84.3
49003,86.9
49005,83.6
49007,85.5
49009,97.3
49011,83.8
49013,85.1
49015,91
49017,88.7
49019,82.3
49021,85.8
49023,91.5
49025,91.2
49027,83
49029,94.9
49031,96.7
49033,89.2
49035,71
49037,43.8
49039,85.9
49041,91.7
49043,84.3
49045,83.1
49047,81.6
49049,82.3
49051,83.5
49053,84.3
49055,90.7
49057,76
56003,87.7
56007,77.2
56013,69.7
56017,92.5
56023,92.1
56025,86.6
56029,91
56035,89.2
56037,79.5
56039,81.3
56041,87.5
56043,81.8
22031,58.7
48001,58.9
48005,60.5
48007,67.3
48013,33.2
48015,62.2
48019,77.8
48021,52.3
48025,31.3
48027,45.7
48029,27.6
48031,76.9
48035,77.8
48039,47.2
48041,55.7
48043,50.2
48047,6.6
48049,71.6
48051,64.7
48053,73.5
48055,39.6
48057,42.2
48061,8.9
48071,66.9
48073,60.6
48081,76.2
48083,76.8
48089,55.9
48091,67.5
48093,69.4
48095,52.8
48099,58.6
48103,31.1
48105,37.4
48109,25.3
48123,54.7
48127,10.9
48131,9.3
48135,32.2
48137,43.2
48141,11.9
48145,51.2
48149,71.2
48157,33
48161,66.6
48163,16.2
48167,57.3
48171,74.7
48173,56.2
48175,58.2
48177,41.6
48185,58.5
48187,50.3
48193,84
48199,86.4
48201,29.5
48209,53.7
48215,6.1
48217,70.5
48225,61.8
48229,17.3
48235,69.8
48239,58.4
48241,74.5
48243,58.3
48245,40.5
48247,8
48249,17.9
48255,35.8
48259,72.3
48261,5.2
48265,68.7
48267,75.6
48271,40.5
48273,20.1
48281,72.5
48283,13.2
48285,73.5
48287,63.3
48289,76.1
48291,63.2
48293,58.6
48297,56
48299,86.4
48301,84.6
48307,60.5
48309,55.9
48311,49
48313,55
48319,74.1
48321,43.6
48323,2.4
48325,43.5
48327,54.8
48329,45.4
48331,62.3
48333,78.2
48339,66
48347,59.5
48349,56
48351,73.4
48355,29.4
48361,80.6
48371,25.1
48373,70.8
48377,12.9
48383,29.7
48385,73
48389,22.2
48391,41.6
48395,57.1
48399,61.4
48403,85.5
48405,69
48407,74.6
48409,38.3
48411,64.2
48413,46.1
48419,61.5
48427,0.6
48431,46.9
48435,34.1
48443,39.3
48451,53.2
48453,48.9
48455,78.3
48457,79
48461,39.1
48463,26.1
48465,15.2
48469,44.6
48471,56.3
