"","fips","PopulationEstimate2019","PropMale","pctPoverty","state","PopulationEstimate65.2019","PropAbove65","DiabetesPercentage","Smokers_Percentage","obesity","copd","chd","stroke","hbp","deaths","deaths_2020","deaths_2021","Series_Complete_Pop_Pct","Booster_Doses_Vax_Pct","no.college.diploma","native","asian","black","white","hispanic"
"1",1001,55869,48.4920080903542,12.1,"AL",8924,15.9730798832984,9.6,NA,NA,7.5,6.1,3.5,38.2,286.384220229465,177.200236266982,109.183983962484,45,35.9,73.4,0.2,1,19,74.6,2.8
"2",1003,223234,48.4903733302275,10.1,"AL",46830,20.9779872241684,7.9,NA,NA,6.9,5.7,3,33.4,265.640538627628,134.836091276418,130.80444735121,52.2,37.6,68.1,0.6,0.9,9.1,83,4.5
"3",1005,24686,52.9206837883821,27.1,"AL",4861,19.6913230170947,11.3,NA,NA,10.7,8.4,5.4,45.6,328.121202300899,222.798347241351,105.322855059548,46.7,36.1,88.4,0.2,0.4,47.4,45.8,4.3
"4",1007,22394,53.2687326962579,20.3,"AL",3733,16.6696436545503,10.2,NA,NA,9.2,7.2,4.1,41.3,424.220773421452,267.928909529338,156.291863892114,35.8,39.4,89.6,0.1,0.1,22.1,74.5,2.5
"5",1009,57826,49.2373672742365,16.3,"AL",10814,18.7009303773389,9.5,NA,NA,8.7,6.8,3.5,37.5,342.406529934631,226.54169404766,115.864835886971,32.4,35.3,86.9,0,0.4,1.5,86.8,9.2
"6",1011,10101,54.5292545292545,30,"AL",1711,16.9389169389169,9.1,NA,NA,9.2,7.8,5.5,48.2,455.400455400455,396.000396000396,59.4000594000594,55.6,39.2,87.9,0,0.4,74.8,21.3,2.5
"7",1013,19448,46.400658165364,21.6,"AL",4049,20.8196215549157,12.5,NA,NA,9.3,7.2,4.7,44.1,524.475524475524,339.366515837104,185.10900863842,40.3,35.2,83.9,0,0.3,45,51.6,1.3
"8",1015,113605,47.9565159984156,17.2,"AL",20547,18.0863518331059,13.3,NA,NA,8.6,6.7,3.9,40.5,468.289247832402,268.474098851283,199.815148981119,48.1,37.8,81.5,0.1,0.8,20.6,72,3.7
"9",1017,33254,47.7987610513021,19.6,"AL",6715,20.1930594815661,11.3,NA,NA,8.7,6.9,4.4,43,442.052083959824,351.837372947615,90.2147110122091,32.5,39.1,86.7,0.3,1.1,39.5,55.5,2.3
"10",1019,26196,49.343411207818,15.9,"AL",6164,23.5303099709879,9,NA,NA,9.5,7.2,3.8,37.7,248.129485417621,164.147198045503,83.9822873721179,31.6,39.9,87.2,1,0.2,4.5,91.7,1.5
"11",1021,44428,49.0681552174305,16,"AL",7600,17.1063293418565,11.3,NA,NA,9.3,7.1,3.9,38.6,389.394075808049,245.340776087152,144.053299720897,37,34.5,87.3,0,0.4,9.1,80.1,7.8
"12",1023,12589,47.1681626817062,22.6,"AL",2969,23.5840813408531,10.4,NA,NA,9.5,7.4,4.8,44.1,238.30328064183,190.642624513464,47.660656128366,67.6,38.2,88.1,0,0.1,42.5,56.3,0.4
"13",1025,23622,47.2144610955889,18.4,"AL",4843,20.502074337482,11.8,NA,NA,9.4,7.4,4.7,45.3,372.53407840149,249.767166200999,122.766912200491,51.8,38.5,87.8,0.1,0.4,45.7,52.7,0.3
"14",1027,13235,48.7117491499811,16.6,"AL",2785,21.0426898375519,8.8,NA,NA,10.1,7.5,4.2,40.3,528.900642236494,408.009066868153,120.891575368341,43,35.7,89.4,0,0.1,15.5,80.3,3.1
"15",1029,14910,49.2287055667337,13.3,"AL",3008,20.1743796109993,7.6,NA,NA,9.2,6.9,3.7,36.9,402.414486921529,274.983232729712,127.431254191818,30.3,36,84.6,0,0,2.7,92.6,2.4
"16",1031,52342,49.1803905085782,15,"AL",9031,17.2538305758282,11.7,NA,NA,7.5,6.3,3.5,37.9,372.549768828092,210.156279851744,162.393488976348,47.9,31.5,77.2,1.1,1.4,16.8,70.1,7.2
"17",1033,55241,47.8050723194729,14.6,"AL",11065,20.0304121938415,10.9,NA,NA,8.2,6.5,3.7,38.4,387.393421552832,228.091453811481,159.301967741352,48.8,38.1,81.9,0.5,0.5,16,78.1,2.8
"18",1035,12067,47.7169138974062,22.2,"AL",2832,23.4689649457197,10,NA,NA,9.4,7.4,4.8,43.7,513.797961382282,215.463661224828,298.334300157454,44.7,33.5,87.2,0.2,0.4,47.7,50,0.6
"19",1037,10663,50.0328237831755,17.1,"AL",2568,24.083278627028,8.8,NA,NA,8.8,7,4.2,41.3,450.154740692113,225.077370346056,225.077370346056,41.4,41.6,87.2,0,0,33.6,64.7,1
"20",1039,37049,48.3872709114956,17.2,"AL",7920,21.377095198251,11.3,NA,NA,9.2,6.9,3.8,39.6,539.825636319469,299.603228157305,240.222408162164,38.7,33.7,84.7,0,0.4,13.3,83.2,1.6
"21",1041,13772,48.5405169909962,16.8,"AL",2671,19.3944234679059,10.4,NA,NA,9,7,4.1,40.4,573.627650304967,413.88324135928,159.744408945687,35.2,36.1,82.6,0.6,1.3,23.1,70.9,0.7
"22",1043,83768,49.4317639193964,12.2,"AL",15735,18.7840225384395,9.6,NA,NA,8.8,6.7,3.5,37,370.069716359469,222.041829815681,148.027886543788,38.7,38.4,86.1,0.2,0.3,1.2,91.8,4.3
"23",1045,49172,49.2434718945741,18.1,"AL",8502,17.2903278288457,11.7,NA,NA,8.2,6.7,3.8,39.6,394.533474334987,221.670869600586,172.862604734402,52.1,31.9,81.9,0.5,1.2,19.7,68.5,6.5
"24",1047,37196,46.18238520271,26,"AL",7021,18.8756855575868,14.4,NA,NA,9.4,7.6,5.5,49,569.953758468652,397.892246478116,172.061511990537,46.5,41.1,85.3,0,0.5,70.4,27.3,1
"25",1049,71513,49.7489966859172,18.2,"AL",12601,17.6205724833247,9.4,NA,NA,10.2,7.8,4.1,38.8,388.740508718695,250.304140505922,138.436368212773,34.7,37.5,87,1,0.3,1.4,80.4,14.5
"26",1051,81209,48.3148419510153,11.4,"AL",12657,15.5857109433683,14.2,NA,NA,7.4,6,3.4,37.5,365.723010996318,248.740903101873,116.982107894445,47.5,35.1,74.9,0.2,0.5,21.2,73.1,2.9
"27",1053,36633,50.2961810389539,20.5,"AL",6691,18.2649523653536,13.8,NA,NA,9.7,7.5,4.6,42.5,404.007315808151,202.003657904076,202.003657904076,37.3,36,87.5,3.9,0.4,31.9,60.2,2.3
"28",1055,102268,48.3983259670669,18.8,"AL",19796,19.3569836116869,12.7,NA,NA,8.7,6.7,3.8,38.2,515.312707787382,335.393280400516,179.919427386866,41.9,38.6,82.2,0.3,0.7,15.4,77.8,3.8
"29",1057,16302,48.6872776346461,17,"AL",3545,21.7457980615875,8.6,NA,NA,9.6,7.2,4,40.1,527.542632805791,361.918782971415,165.623849834376,35.8,36.5,87.6,0,0.5,11.1,84.4,1.8
"30",1059,31362,50.3220457878962,16.1,"AL",5374,17.1353867738027,9.2,NA,NA,8.9,7.1,3.8,37.7,353.931509470059,261.46291690581,92.4685925642497,44.6,33.7,86,0.2,0.3,4.2,76.8,17.1
"31",1061,26271,48.825701343687,16.1,"AL",5420,20.631114156294,8.8,NA,NA,9.8,7.4,4,39.4,521.487571847284,281.679418370066,239.808153477218,40.9,35.3,87.5,0.8,0.4,9.4,83.8,3.9
"32",1063,8111,47.2074959930958,31.7,"AL",1890,23.3016890642338,11.5,NA,NA,11.2,8.9,6.7,51.8,554.802120576994,419.183824435951,135.618296141043,52,47.6,89.9,0.4,0,79.4,17.2,1.7
"33",1065,14651,47.4370350146748,20.5,"AL",2885,19.691488635588,11,NA,NA,9.5,7.5,5.2,44.9,621.11801242236,498.259504470685,122.858507951676,62.3,42.9,85.8,0.2,0.2,59.3,39.5,0
"34",1067,17205,48.2941005521651,17.2,"AL",4031,23.4292356873002,11.1,NA,NA,8.5,6.7,4,40.6,383.60941586748,244.11508282476,139.49433304272,46.1,37.1,82.9,0.1,0.4,26.5,69.1,2.6
"35",1069,105882,47.8154927183091,19.4,"AL",19184,18.1182826164976,13.2,NA,NA,8.3,6.6,3.9,41.4,408.001360004533,256.88974518804,151.111614816494,44.1,36.3,78.3,0.2,0.9,26.7,66.4,3.3
"36",1071,51626,49.1360942160927,14.7,"AL",10591,20.514856855073,11,NA,NA,9.7,7.2,3.9,39.2,389.338705303529,205.322899314299,184.01580598923,50.4,40.2,86,1.1,0.5,3.4,89.2,2.9
"37",1073,658573,47.2585423331962,16.2,"AL",107329,16.2972062322628,11.8,NA,NA,7,5.9,3.8,37.7,307.331153873602,222.29881880976,85.0323350638425,59.8,40.9,66.6,0.1,1.5,42.8,49.8,3.8
"38",1075,13805,48.9677653024267,15.3,"AL",3060,22.1658819268381,11.1,NA,NA,9.8,7.5,4.1,39.2,427.381383556682,239.043824701195,188.337558855487,44.9,42.7,88.1,0,0.1,10.6,85.9,1.6
"39",1077,92729,47.9785180472128,15.7,"AL",19007,20.4973632844094,9.7,NA,NA,8,6.4,3.4,35.6,342.934788469627,236.172071304554,106.762717165072,47.6,39.4,76.5,0.3,0.7,10.1,84.7,2.6
"40",1079,32924,48.7000364475762,17.7,"AL",6287,19.0954926497388,8.9,NA,NA,9.6,7.2,4.1,38.9,413.07253067671,285.506013850079,127.566516826631,47.8,38.4,87.4,5.6,0.2,10.5,76.4,2.1
"41",1081,164542,49.1303132330955,15.5,"AL",20412,12.4053433166,10.6,NA,NA,7.2,6.2,3.6,38.3,163.484095246199,100.886095951186,62.5979992950128,41.3,38.8,64.7,0.1,4.1,22.7,67.4,3.6
"42",1083,98915,49.9863519183137,12,"AL",15081,15.2464236971137,10.4,NA,NA,7.6,6.2,3.4,37.8,231.511904160137,146.59050700096,84.921397159177,39.6,35.8,74.3,0.6,1.4,13.5,76.5,6
"43",1085,9726,46.9874563026938,26.6,"AL",1921,19.7511823976969,11.2,NA,NA,9.8,7.9,5.8,48.6,699.156899033518,544.931112482007,154.225786551511,52.7,39.3,85.3,0.1,0,74.3,24.6,0.4
"44",1087,18068,45.4837281381448,29.3,"AL",3785,20.9486384768652,12.4,NA,NA,8.5,7.1,5.5,48,381.890635377463,260.128403807837,121.762231569626,49.3,41.7,79.6,0,0.1,82.5,15.8,0.8
"45",1089,372909,48.9036199179961,11.5,"AL",57136,15.3217004684789,10.4,NA,NA,6.1,5.6,3.1,35.6,205.143882287636,131.131187501508,74.0126947861275,63.7,40.6,57.2,0.5,2.7,24,64.6,4.9
